categoria,zona,cnt,sum_sla,avg_sla,max_hora,avg_dia,min_mes
CONEXION,CENTRO,35769,1558444,43.56968324526825,23,3.988705303475076,1
CONEXION,NORTE,36131,1567360,43.379923057762035,23,4.004262267858626,1
CONEXION,OCCIDENTE,35971,1568800,43.61291040004448,23,3.9959967751800063,1
CONEXION,ORIENTE,35935,1572148,43.74977041881174,23,3.9979407263113957,1
CONEXION,SUR,36350,1584180,43.58129298486933,23,3.9989821182943603,1
EQUIPO,CENTRO,18029,782848,43.421598535692496,23,4.02057795773476,1
EQUIPO,NORTE,18178,789776,43.44680382880405,23,4.020574320607327,1
EQUIPO,OCCIDENTE,17930,781164,43.56742889012828,23,4.013329615170106,1
EQUIPO,ORIENTE,17949,781524,43.54136720708674,23,3.9851802328820547,1
EQUIPO,SUR,18049,785520,43.52152473821264,23,3.989583910465954,1
FACTURACION,CENTRO,17878,775644,43.3853898646381,23,3.9965879852332478,1
FACTURACION,NORTE,17896,777420,43.44099240053643,23,4.011063924899418,1
FACTURACION,OCCIDENTE,17903,781036,43.62598447187622,23,4.017818242752611,1
FACTURACION,ORIENTE,17814,775948,43.55832491298978,23,4.017345907713035,1
FACTURACION,SUR,17946,784648,43.722723726735765,23,3.99487350941714,1
INSTALACION,CENTRO,12087,529024,43.768015222966824,23,4.024323653512038,1
INSTALACION,NORTE,12006,524936,43.72280526403465,23,4.013576545060803,1
INSTALACION,OCCIDENTE,12150,529172,43.553251028806585,23,3.9762139917695474,1
INSTALACION,ORIENTE,11851,516432,43.57708210277614,23,4.018226310016033,1
INSTALACION,SUR,12018,526708,43.82659344316858,23,4.044682975536695,1
OTRO,CENTRO,11878,516664,43.49755851153393,23,3.9850985014312172,1
OTRO,NORTE,11940,519592,43.516917922948075,23,4.00536013400335,1
OTRO,OCCIDENTE,12062,528040,43.777151384513346,23,4.013181893549992,1
OTRO,ORIENTE,11984,526968,43.97263017356475,23,4.002086114819759,1
OTRO,SUR,12108,525808,43.42649487941856,23,4.008259002312521,1
VELOCIDAD,CENTRO,24226,1054436,43.524973169322216,23,3.9856352678939984,1
VELOCIDAD,NORTE,23940,1042336,43.53951545530493,23,4.017878028404344,1
VELOCIDAD,OCCIDENTE,23903,1043300,43.64724093210057,23,4.037735849056604,1
VELOCIDAD,ORIENTE,24121,1054212,43.70515318602048,23,3.9888893495294555,1
VELOCIDAD,SUR,23998,1044156,43.51012584382032,23,3.9977498124843738,1
