transform,engine,n_cores,rep,elapsed_s
T1,pandas,0,1,9.877368017000038
T1,pandas,0,2,7.070133012000042
T1,pandas,0,3,9.844915379999975
T1,pandas,0,4,7.085731759999987
T1,pandas,0,5,9.43703280699998
T2,pandas,0,1,8.344689528000004
T2,pandas,0,2,5.914199253999982
T2,pandas,0,3,8.451671375000046
T2,pandas,0,4,5.918644808999943
T2,pandas,0,5,8.594665102000022
T3,pandas,0,1,10.11879184199995
T3,pandas,0,2,7.281435818999967
T3,pandas,0,3,11.874930014000029
T3,pandas,0,4,10.425123405000022
T3,pandas,0,5,7.478621080999915
T4,pandas,0,1,12.370014628999911
T4,pandas,0,2,11.322537184999987
T4,pandas,0,3,10.688652692000005
T4,pandas,0,4,12.295508591000043
T4,pandas,0,5,12.380287124999995
T5,pandas,0,1,8.720398672999977
T5,pandas,0,2,5.715590686000041
T5,pandas,0,3,7.480091872999992
T5,pandas,0,4,6.26930439299997
T5,pandas,0,5,5.783716035999987
T1,spark,4,1,9.579283940999971
T1,spark,4,2,5.630740707999962
T1,spark,4,3,7.079967358999966
T1,spark,4,4,6.209999317999973
T1,spark,4,5,5.03378710800007
T2,spark,4,1,4.0096680479999804
T2,spark,4,2,4.368864659999986
T2,spark,4,3,6.335401287999957
T2,spark,4,4,3.78354625999998
T2,spark,4,5,4.363113449000025
T4,spark,4,1,8.381231679999928
T4,spark,4,2,8.816558676999989
T4,spark,4,3,7.364218294000011
T4,spark,4,4,9.007005900999957
T4,spark,4,5,7.331896800999971
T5,spark,4,1,2.499360595999974
T5,spark,4,2,2.4094580759999644
T5,spark,4,3,2.3136485359999597
T5,spark,4,4,2.4504178260000344
T5,spark,4,5,4.130964013000039
T3,spark,1,1,11.001602544000093
T3,spark,1,2,7.152312760999962
T3,spark,1,3,7.891464717999952
T3,spark,1,4,7.64180895800007
T3,spark,1,5,8.898999807999985
T3,spark,2,1,6.7337140130000535
T3,spark,2,2,8.699589062999962
T3,spark,2,3,6.9375848319999704
T3,spark,2,4,7.576921905000063
T3,spark,2,5,7.058974465000006
T3,spark,4,1,7.001971427000058
T3,spark,4,2,9.117246230999967
T3,spark,4,3,6.420805341999994
T3,spark,4,4,8.635541623000108
T3,spark,4,5,7.087361557999884
